number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
78,2.3,1.3,11.3,3,0,0,0,the best
1415,12.4,1.3,48.8,109,0,0,0,medium
533,10.3,3,48.3,3,0,0,0,best
3606,3,1.1,10.8,62,0,0,0,medium
40,4.1,1.4,20.7,7,0,0,0,the best
747,9.5,3.5,31.4,11,1,0.09,0.64,not bad
1291,6.6,1,34.7,191,0,0,0,not bad
86,3.2,1,10.1,8,0,0,0,the best
86,3.2,1,10.1,8,0,0,0,the best
529,5.1,1.7,17.6,89,0,0,0,medium
1250,6.6,1,60.2,186,0,0,0,not bad
,,,,,,,,the best
1452,5.9,1.1,29.3,196,0,0,0,not bad
340,5.8,1.6,28.3,51,0,0,0,good
3606,3,1.1,10.8,62,0,0,0,medium
295,7.1,1.9,34.9,22,0,0,0,best
1452,5.9,1.1,29.3,196,0,0,0,not bad
211,9.3,1.4,43.8,20,0,0,0,best
90,6,2.2,31.2,13,0,0,0,best
295,7.1,1.9,34.9,22,0,0,0,best
639,8.2,1.3,53.6,75,0,0,0,medium
244,8,1.2,26.6,30,0,0,0,great
846,17.2,1.8,67.7,51,0,0,0,good
780,6.8,1,52.6,111,0,0,0,not bad
1250,6.6,1,60.2,186,0,0,0,not bad
158,8.1,3.4,42.4,7,0,0,0,best
244,8,1.2,26.6,30,0,0,0,great
1415,12.4,1.3,48.8,109,0,0,0,medium
220,6.7,2.2,30.4,30,0,0,0,great
1342,5.7,1,41.7,222,0,0,0,bad
59,5.9,1.2,26.5,8,0,0,0,the best
401,10,3.3,56.8,36,1,0.03,0.19,not bad
1415,12.4,1.3,48.8,109,0,0,0,medium
1033,7.7,2.2,39.6,126,0,0,0,not bad
,,,,,,,,the best
208,0,0,0,1,0,0,0,the best
391,5.7,2.1,33.3,38,0,0,0,good
311,9.3,1.3,55.5,28,0,0,0,great
246,15,6.4,106.7,15,0,0,0,good
1575,5.8,1,40,237,0,0,0,bad
27,0,0,0,1,0,0,0,the best
774,11.1,1.2,57.3,46,0,0,0,good
123,6.2,2.2,32.7,13,0,0,0,best
863,8,1.8,71.5,111,0,0,0,not bad
101,4.5,1.5,19.5,2,0,0,0,the best
529,5.1,1.7,17.6,89,0,0,0,medium
639,8.2,1.3,53.6,75,0,0,0,medium
220,6.7,2.2,30.4,30,0,0,0,great
1575,5.8,1,40,237,0,0,0,bad
20,5,1.7,33.3,3,0,0,0,best
55,7,1,48,4,0,0,0,best
1222,8.1,1.1,31.9,141,0,0,0,not bad
1415,12.4,1.3,48.8,109,0,0,0,medium
27,0,0,0,1,0,0,0,the best
542,7.3,2,25.6,69,0,0,0,medium
34,5.2,2,17.8,4,0,0,0,the best
107,7.2,1.1,47.8,13,0,0,0,best
300,3.3,1.1,12.6,20,0,0,0,best
53,9.6,1,86.4,5,0,0,0,good
1553,3.6,1,9.4,62,0,0,0,medium
1979,7,1,48.3,244,0,0,0,bad
144,9,1.5,49.5,2,0,0,0,best
152,4,1.2,13.5,28,0,0,0,great
11,0,0,0,1,0,0,0,the best
3606,3,1.1,10.8,62,0,0,0,medium
533,10.3,3,48.3,3,0,0,0,best
73,4.7,2.1,18.4,13,0,0,0,best
3606,3,1.1,10.8,62,0,0,0,medium
371,5.2,1.9,21.3,51,0,0,0,good
166,8.3,1.6,35.2,17,0,0,0,best
122,0,0,0,1,0,0,0,the best
,,,,,,,,the best
1204,14.3,2.3,79.6,26,0,0,0,good
220,6.7,2.2,30.4,30,0,0,0,great
220,6.7,2.2,30.4,30,0,0,0,great
67,6.5,2.4,46.9,8,0,0,0,best
215,3.8,1.4,14.2,49,0,0,0,good
167,0,0,0,1,0,0,0,the best
90,5.8,1,21.1,13,0,0,0,best
28,0,0,0,1,0,0,0,the best
90,5.8,1,21.1,13,0,0,0,best
158,3,1,9.8,5,0,0,0,the best
146,5.4,1.1,39.8,22,0,0,0,best
6,0,0,0,1,0,0,0,the best
408,10.6,1.2,44.5,38,0,0,0,good
159,5.8,1.5,32,24,0,0,0,great
1775,8,1.1,37.6,204,0,0,0,not bad
466,6.3,2.1,26.4,65,0,0,0,medium
89,9.4,1,55.6,8,0,0,0,great
225,3.7,1.2,8,6,0,0,0,the best
8,0,0,0,1,0,0,0,the best
291,3.2,1.2,9.9,13,0,0,0,best
909,7.8,1.1,41.2,86,0,0,0,medium
54,3.4,1.5,24.9,11,0,0,0,the best
51,4.8,1.9,26.9,8,0,0,0,the best
28,12,1,83,1,0,0,0,good
293,9.6,1.1,64.7,28,0,0,0,great
1181,9.3,1.1,34.7,133,0,0,0,not bad
108,5.2,1.5,29.5,17,0,0,0,best
557,5.8,1.8,28.2,82,0,0,0,medium
120,5.9,1.8,26.1,15,0,0,0,best
167,4.4,1.4,16.5,31,0,0,0,great
136,5.2,1.1,21.5,24,0,0,0,great
29,0,0,0,1,0,0,0,the best
133,5.9,2.3,29.7,21,0,0,0,best
113,7,1,33,1,0,0,0,the best
