number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
137,10.8,3,66.2,12,0,0,0
2188,17.1,4.3,119.9,119,3,0.03,0.19
324,11,3.3,84.6,25,0,0,0
3650,77.3,18.6,815.4,47,15,0.32,0.76
1653,19.3,4.3,154.6,77,4,0.05,0.24
1027,14.8,4.1,137.1,61,3,0.05,0.28
1293,58.6,8.5,678.2,21,3,0.14,0.51
634,27.8,5.3,311.2,22,1,0.05,0.23
1689,47.5,13,345,34,9,0.26,0.67
547,76.9,29.4,737.7,7,5,0.71,0.89
206,22.1,3.9,191.5,8,1,0.12,0.66
2900,9.1,2,90.3,276,0,0,0
2709,12.4,4.5,125.9,161,8,0.05,0.32
1653,19.3,4.3,154.6,77,4,0.05,0.24
16,5.7,1.7,27.3,3,0,0,0
402,10.9,4.6,96.5,26,1,0.04,0.21
117,9.9,1.9,81.6,10,0,0,0
303,17.5,3.3,156.2,16,0,0,0
303,10.5,2.9,58.1,18,0,0,0
674,24.5,3.3,264.8,26,0,0,0
300,23.2,3.4,105.3,12,0,0,0
402,10.9,4.6,96.5,26,1,0.04,0.21
539,16.8,4.6,112.2,28,1,0.04,0.18
404,20.1,2.7,163,18,0,0,0
2427,22.3,1.8,235.2,103,0,0,0
138,24.6,9.6,199,5,1,0.2,0.62
,,,,,,,
495,46.6,8.5,405.4,10,1,0.1,0.3
1439,42.4,11,373.1,33,5,0.15,0.34
674,24.5,3.3,264.8,26,0,0,0
495,46.6,8.5,405.4,10,1,0.1,0.3
367,11.6,2.5,73.3,27,0,0,0
1322,62.3,14.7,414.1,20,6,0.3,0.72
577,31.3,7.5,390.8,18,1,0.06,0.45
3403,28.4,5.7,252.7,114,9,0.08,0.24
819,9.1,1.8,106.1,89,0,0,0
1977,12.6,2.6,150.5,137,3,0.02,0.13
2900,9.1,2,90.3,276,0,0,0
577,31.3,7.5,390.8,18,1,0.06,0.45
323,13.3,3.5,131.8,20,0,0,0
926,36.1,7.5,266.8,24,2,0.08,0.3
212,12.1,4.1,112.3,16,1,0.06,0.33
2175,20.6,4.3,185.9,99,5,0.05,0.09
2597,24.8,6,143.8,96,7,0.07,0.53
926,36.1,7.5,266.8,24,2,0.08,0.3
2427,22.3,1.8,235.2,103,0,0,0
150,17.6,2.5,133.4,8,0,0,0
797,31.7,6.4,209.5,23,2,0.09,0.3
626,29.2,8,270.4,21,4,0.19,0.27
926,36.1,7.5,266.8,24,2,0.08,0.3
2900,9.1,2,90.3,276,0,0,0
150,17.6,2.5,133.4,8,0,0,0
25,19,1,174,1,0,0,0
2597,24.8,6,143.8,96,7,0.07,0.53
615,14.4,3.1,78.4,42,2,0.05,0.39
819,9.1,1.8,106.1,89,0,0,0
626,29.2,8,270.4,21,4,0.19,0.27
682,33.2,9,255.1,20,2,0.1,0.57
576,26.2,4.5,257.4,21,2,0.1,0.24
843,62,22.6,476.5,13,5,0.38,0.85
126,52,7,440,2,0,0,0
404,20.1,2.7,163,18,0,0,0
86,12,2,94.2,6,0,0,0
383,22.1,4,193.9,16,0,0,0
982,47.1,6.4,481.2,19,2,0.11,0.25
1979,8.5,2.3,66.2,178,2,0.01,0.05
1979,8.5,2.3,66.2,178,2,0.01,0.05
2461,9,3.4,57.6,269,10,0.04,0.17
3,0,0,0,1,0,0,0
1304,13,3.1,119.5,86,1,0.01,0.07
82,18,4,169,4,0,0,0
187,33,9.2,393.8,5,2,0.4,0.78
1048,33.1,3.5,366.8,29,1,0.03,0.28
618,26,5.5,153.3,20,2,0.1,0.62
305,24.1,2.9,206.8,11,0,0,0
1207,26.8,7.2,173.6,44,3,0.07,0.6
1060,52.6,10.9,425.5,19,5,0.26,0.51
964,52.6,9.3,735.6,18,5,0.28,0.66
49,8,1,75,1,0,0,0
199,0,0,0,1,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
732,36.4,5.5,417.7,20,0,0,0
416,20.4,4.7,214.7,19,1,0.05,0.13
160,51.3,7,545.7,3,1,0.33,0.93
2461,9,3.4,57.6,269,10,0.04,0.17
109,13.3,2.1,129.1,7,0,0,0
86,12,2,94.2,6,0,0,0
224,0,0,0,1,0,0,0
109,13.3,2.1,129.1,7,0,0,0
386,22,5.1,180.7,16,1,0.06,0.28
1688,21.4,2.9,187,77,3,0.04,0.23
238,19.2,4.5,215,11,0,0,0
495,46.6,8.5,405.4,10,1,0.1,0.3
1825,39,4.2,447.6,46,2,0.04,0.15
212,12.1,4.1,112.3,16,1,0.06,0.33
507,27.2,7.1,221.8,18,1,0.06,0.58
818,44.7,11.9,363.6,17,4,0.24,0.54
485,79.8,21,829.7,6,2,0.33,0.55
1689,47.5,13,345,34,9,0.26,0.67
110,8.2,1,79.2,11,0,0,0
609,33.6,10.2,310.2,17,4,0.24,0.57
98,29.5,5.5,211,2,0,0,0
194,19,3.7,167,9,0,0,0
649,16.2,4.3,154,37,1,0.03,0.39
4120,29.1,6.5,247.7,137,19,0.14,0.49
143,11,2.6,75.1,11,0,0,0
2427,22.3,1.8,235.2,103,0,0,0
2461,9,3.4,57.6,269,10,0.04,0.17
212,12.1,4.1,112.3,16,1,0.06,0.33
248,19.4,2.1,155.7,11,0,0,0
212,12.1,4.1,112.3,16,1,0.06,0.33
2427,22.3,1.8,235.2,103,0,0,0
3852,25.1,6,209.7,131,18,0.14,0.52
98,29.5,5.5,211,2,0,0,0
600,11.6,4.2,75,43,4,0.09,0.31
880,40.6,3,503.9,21,0,0,0
248,19.4,2.1,155.7,11,0,0,0
2461,9,3.4,57.6,269,10,0.04,0.17
212,12.1,4.1,112.3,16,1,0.06,0.33
166,10.3,1.4,92.4,14,0,0,0
1725,90.1,21.6,810.7,19,3,0.16,0.71
1629,33.1,8.9,203.5,46,7,0.15,0.36
121,36.7,9.7,284.7,3,1,0.33,0.73
658,12.8,2.8,84.9,48,2,0.04,0.24
411,23.5,5.6,226.9,16,1,0.06,0.06
86,12,2,94.2,6,0,0,0
131,16,3.1,130.4,7,0,0,0
85,10.9,2.4,79.4,8,0,0,0
203,19.8,3.4,177.9,9,0,0,0
110,16,2.5,147.8,6,0,0,0
736,36.2,7.5,353.9,19,2,0.11,0.3
1689,47.5,13,345,34,9,0.26,0.67
402,10.9,4.6,96.5,26,1,0.04,0.21
1725,90.1,21.6,810.7,19,3,0.16,0.71
82,18,4,169,4,0,0,0
100,17.8,2.2,155.8,5,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
293,24.5,7.8,276.8,11,2,0.18,0.29
3403,28.4,5.7,252.7,114,9,0.08,0.24
1979,8.5,2.3,66.2,178,2,0.01,0.05
