pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,code_quality_rate
33101,spring-framework,59,1464,5,152,1,,1,FALSE,2,0,FALSE,0,157.66666666666666,,0,0,0.3953125,,"No major code quality issues found.
No major code quality issues found.",medium
33085,spring-framework,82,1543,2,26,9,,1,FALSE,1,0,FALSE,4,50.43333333333333,,0,0,0.2555555555555556,,"No major code quality issues found.
No major code quality issues found.",medium
33073,spring-framework,43,49,2,111,4,,3,FALSE,4,2,FALSE,1,116.43333333333334,,554.6447222222222,0,0.2,,"No major code quality issues found.
No major code quality issues found.",good
33065,spring-framework,51,2468,1,3,3,,1,FALSE,2,0,FALSE,0,142.1,,0,0,0.3080357142857143,,No major code quality issues found.,not bad
33042,spring-framework,60,34,1,1,1,,1,FALSE,3,0,FALSE,0,4.1,,0,0,-0.275,,No major code quality issues found.,the best
33036,spring-framework,19,92,1,1,1,,1,FALSE,3,0,FALSE,4,50.233333333333334,,0,0,0.575,,No major code quality issues found.,good
33023,spring-framework,82,316,3,60,4,,1,FALSE,1,0,FALSE,4,97.33333333333333,,0,0,0,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
33017,spring-framework,69,95,1,1,1,0.068888889,1,FALSE,1,0,TRUE,192,155.03333333333333,,0,0,0.5375,,No major code quality issues found.,the best
32992,spring-framework,59,724,1,1,1,3.229722222222222,1,FALSE,1,0,TRUE,1,144.96666666666667,,0,0,0.2361904761904762,,No major code quality issues found.,best
32977,spring-framework,60,184,2,4,1,,1,FALSE,2,0,FALSE,2,132.5,,0,0,0.2263888888888889,,"No major code quality issues found.
No major code quality issues found.",best
32969,spring-framework,37,87,1,1,1,,1,FALSE,0,0,FALSE,2,119.3,,0,0,0,,No major code quality issues found.,the best
32956,spring-framework,58,39,1,30,20,,5,FALSE,2,0,FALSE,0,40.733333333333334,,0,0,0.14166666666666666,,No major code quality issues found.,not bad
32955,spring-framework,20,72,1,23,11,,3,FALSE,2,0,FALSE,0,40.733333333333334,,0,0,0.2638888888888889,,No major code quality issues found.,not bad
32954,spring-framework,17,58,1,17,7,,1,FALSE,2,0,FALSE,0,40.733333333333334,,0,0,0.3055555555555556,,No major code quality issues found.,not bad
32941,spring-framework,51,65,2,22,2,,1,FALSE,5,0,FALSE,0,26.866666666666667,,0,0,1.6904761904761905,,"No major code quality issues found.
No major code quality issues found.",best
32931,spring-framework,46,168,2,43,0,,2,FALSE,4,0,FALSE,1,38.3,,0,0,0.47500000000000003,,"No major code quality issues found.
No major code quality issues found.",the best
32926,spring-framework,49,2293,1,3,3,97.01027777777777,1,FALSE,3,0,TRUE,1,90.7,,0,0,-0.366666667,,No major code quality issues found.,medium
32901,spring-framework,39,111,2,82,9,,1,FALSE,3,0,FALSE,0,44.96666666666667,,0,0,-0.044444444,,"No major code quality issues found.
No major code quality issues found.",worst
32900,spring-framework,49,16,1,25,0,,1,FALSE,1,0,FALSE,0,20.066666666666666,,0,0,0.4,,No major code quality issues found.,great
32896,spring-framework,25,189,1,95,0,,1,FALSE,3,0,FALSE,0,19.266666666666666,,0,0,0.38095238095238093,,No major code quality issues found.,good
32895,spring-framework,77,14,2,50,9,,2,FALSE,11,0,FALSE,0,115.4,,0,0,0.10892857142857144,,"No major code quality issues found.
No major code quality issues found.",best
32876,spring-framework,79,63,2,42,3,,1,FALSE,9,0,FALSE,68,177.53333333333333,,0,0,-0.242542088,,"No major code quality issues found.
No major code quality issues found.",great
32853,spring-framework,60,718,4,104,3,,1,FALSE,1,0,FALSE,0,19.866666666666667,,0,0,0.037500000000000006,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
32852,spring-framework,26,0,4,144,16,,1,FALSE,3,0,FALSE,0,50.666666666666664,,0,0,0.14285714285714285,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",great
32814,spring-framework,51,1347,3,24,1,,1,FALSE,3,0,FALSE,1,74.7,,0,0,0.25000000000000006,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
32804,spring-framework,85,630,2,186,95,,1,FALSE,7,1,FALSE,4,92.06666666666666,,57.61916666666667,1,0.2583333333333333,,"No major code quality issues found.
No major code quality issues found.",bad
32799,spring-framework,78,160,1,6,2,,1,FALSE,0,0,FALSE,0,26.1,,0,0,0,,No major code quality issues found.,best
