number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
618,26,5.5,153.3,20,2,0.1,0.62,not bad
305,24.1,2.9,206.8,11,0,0,0,medium
1207,26.8,7.2,173.6,44,3,0.07,0.6,not bad
1060,52.6,10.9,425.5,19,5,0.26,0.51,not bad
964,52.6,9.3,735.6,18,5,0.28,0.66,not bad
49,8,1,75,1,0,0,0,great
199,0,0,0,1,0,0,0,the best
1689,47.5,13,345,34,9,0.26,0.67,not bad
732,36.4,5.5,417.7,20,0,0,0,not bad
416,20.4,4.7,214.7,19,1,0.05,0.13,not bad
160,51.3,7,545.7,3,1,0.33,0.93,not bad
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
109,13.3,2.1,129.1,7,0,0,0,good
86,12,2,94.2,6,0,0,0,good
224,0,0,0,1,0,0,0,the best
109,13.3,2.1,129.1,7,0,0,0,good
386,22,5.1,180.7,16,1,0.06,0.28,not bad
1688,21.4,2.9,187,77,3,0.04,0.23,not bad
238,19.2,4.5,215,11,0,0,0,medium
495,46.6,8.5,405.4,10,1,0.1,0.3,not bad
1825,39,4.2,447.6,46,2,0.04,0.15,not bad
212,12.1,4.1,112.3,16,1,0.06,0.33,not bad
507,27.2,7.1,221.8,18,1,0.06,0.58,not bad
818,44.7,11.9,363.6,17,4,0.24,0.54,not bad
485,79.8,21,829.7,6,2,0.33,0.55,not bad
1689,47.5,13,345,34,9,0.26,0.67,not bad
110,8.2,1,79.2,11,0,0,0,good
609,33.6,10.2,310.2,17,4,0.24,0.57,not bad
98,29.5,5.5,211,2,0,0,0,medium
194,19,3.7,167,9,0,0,0,medium
649,16.2,4.3,154,37,1,0.03,0.39,not bad
4120,29.1,6.5,247.7,137,19,0.14,0.49,not bad
143,11,2.6,75.1,11,0,0,0,great
2427,22.3,1.8,235.2,103,0,0,0,medium
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
212,12.1,4.1,112.3,16,1,0.06,0.33,not bad
248,19.4,2.1,155.7,11,0,0,0,good
212,12.1,4.1,112.3,16,1,0.06,0.33,not bad
2427,22.3,1.8,235.2,103,0,0,0,medium
3852,25.1,6,209.7,131,18,0.14,0.52,not bad
98,29.5,5.5,211,2,0,0,0,medium
600,11.6,4.2,75,43,4,0.09,0.31,not bad
880,40.6,3,503.9,21,0,0,0,not bad
248,19.4,2.1,155.7,11,0,0,0,good
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
212,12.1,4.1,112.3,16,1,0.06,0.33,not bad
166,10.3,1.4,92.4,14,0,0,0,good
1725,90.1,21.6,810.7,19,3,0.16,0.71,worst
1629,33.1,8.9,203.5,46,7,0.15,0.36,not bad
121,36.7,9.7,284.7,3,1,0.33,0.73,not bad
658,12.8,2.8,84.9,48,2,0.04,0.24,not bad
411,23.5,5.6,226.9,16,1,0.06,0.06,not bad
86,12,2,94.2,6,0,0,0,good
131,16,3.1,130.4,7,0,0,0,good
85,10.9,2.4,79.4,8,0,0,0,good
